sep=;
"";"id";"title";"category"
"328";"SCCS1728";"Rich, Poor, or Dispossessed as One Party in Violent Conflicts";"Subsistence, Kinship, Politics"
"329";"SCCS956";"Social Approval for Infanticide";"Marriage, Life cycle"
"330";"SCCS1226";"Sister and Brother";"Kinship"
"331";"SCCS438";"Lecturing: Early Girls";"Childhood, Life cycle"
"332";"SCCS578";"Sex of Shamans";"Gender"
"333";"SCCS437";"Lecturing: Early Boys";"Childhood, Life cycle"
"334";"SCCS90";"Police";"Politics"
"335";"SCCS748";"Customs Surrounding Consummation of Marriage";"Gender, Marriage"
"336";"SCCS306";"Self-reliance: Early Boy";"Childhood, Life cycle"
"337";"SCCS777";"(No) Enforcement Specialists (e.g., Police, Tax Collectors)";"Politics"
"338";"SCCS309";"Self-reliance: Late Girl";"Childhood, Life cycle"
"339";"SCCS175";"Male Sexual Aggressiveness";"Life cycle, Marriage, Sexual practices"
"340";"SCCS23";"Sleeping Proximity of Parents to Infant";"Infancy, Childhood"
"341";"SCCS336";"Honesty";"Childhood, Life cycle"
"342";"SCCS976";"The Rights Transferred by Men at Marriage";"Marriage, Life cycle"
"343";"SCCS1665";"Individual Aggression - Homicide";"Warfare, Politics"
"344";"SCCS200";"Trance states [Note, identical to EA112]";"Ritual"
"345";"SCCS335";"Trust";"Childhood, Life cycle"
"346";"SCCS632";"Domestic Authority Scale";"Gender"
"347";"SCCS590";"Inheritance of Property of Some Economic Value";"Gender"
"348";"SCCS737";"Relative Contribution of the Sexes to Handicrafts and Manufacture";"Gender"
"349";"SCCS1127";"Crop Type Plow-positive or -negative";"Subsistence"
"350";"SCCS118";"Food Preparation: Preservation (sexual division of labor)";"Economy, Labour"
"351";"SCCS134";"Manufacturing: Leather (sexual division of labor)";"Economy, Labour"
"352";"SCCS758";"Local Community Leadership Selection: Basis";"Politics"
"353";"SCCS671";"Menstrual Taboos (H16)";"Gender"
"354";"SCCS793";"(Low) Female Participation in Public Political Arenas, Relative to Males";"Politics"
"355";"SCCS776";"(Few) Formal Sanctions and Enforcement for Community Decisions";"Politics"
"356";"SCCS1375";"Child Soil Preparation: Secondary Crop";"Household, Labour, Gender"
"357";"SCCS768";"(No) Conflict between Communities of the Same Society";"Politics"
"358";"SCCS38";"Introduction of New Foods (Other than Milk) in Childhood";"Infancy, Childhood"
"359";"SCCS168";"Initiator of Premarital Sex";"Life cycle, Marriage, Sexual practices"
"360";"SCCS1376";"Child Planting: Secondary Crop";"Household, Labour, Gender"
"361";"SCCS1968";"Amount of Useful Property Destroyed";"Life cycle, Mourning, Death, Ritual, Religion"
"362";"SCCS1737";"Extent of Burden Caused by Tribute Payments or Taxation";"Subsistence, Kinship, Politics"
"363";"SCCS142";"Miscellaneous: Fire (sexual division of labor)";"Economy, Labour"
"364";"SCCS790";"Type of Cross-cutting Ties: Kinship Organizations Cutting across Communities";"Politics"
"365";"SCCS268";"Age or occupational specialization: animal husbandry [Note, identical to EA064]";"Labour, Economy"
"366";"SCCS367";"Principal Category of Non-parental Caretaker: Late Boy";"Childhood, Life cycle"
"367";"SCCS436";"Control by Public Opinion: Late Girls";"Childhood, Life cycle"
"368";"SCCS225";"Cognatic kin groups [Note, identical to EA021]";"Kinship"
"369";"SCCS1736";"Tribute, Taxation, Expropriation";"Subsistence, Kinship, Politics"
"370";"SCCS1744";"Lower Level Participation in Decision Making of the Unit of Maximal Political Authority";"Subsistence, Kinship, Politics"
"371";"SCCS82";"Trend in Autonomy";"Politics"
"372";"SCCS972";"Consent to Marry: How Necessary Is the Consent of the Prospective Husband for Marriage Arrangements to Proceed";"Marriage, Life cycle"
"373";"SCCS1675";"Socially Organized Homicide";"Warfare, Politics"
"374";"SCCS713";"(Pre-classical) Religion";"Gender"
"375";"SCCS173";"Rape";"Life cycle, Marriage, Sexual practices"
"376";"SCCS613";"Final Authority over the Care, Handling and Discipline of Infants";"Gender"
"377";"SCCS740";"Marriage Arrangements (Females)";"Gender, Marriage"
"378";"SCCS502";"Hostility and Aggression of Caretakers - Overall: Boy";"Childhood, Life cycle"
"379";"SCCS1363";"Shortest Length of Fallow: Primary Crop";"Household, Labour, Gender"
"380";"SCCS165";"Premarital Sex Attitudes - Female";"Life cycle, Marriage, Sexual practices"
"381";"SCCS100";"Food Collection: Eggs, Insects, and/or Small Land Fauna (sexual division of labor)";"Economy, Labour"
"382";"SCCS1374";"Child Land Clearance: Secondary Crop";"Household, Labour, Gender"
"383";"SCCS1713";"Sex Segregation in Sleeping Areas of Adolescents and Teens";"Childhood, Household, Life cycle, Marriage"
"384";"SCCS255";"Age or occupational specialization: weaving [Note, identical to EA056]";"Labour, Economy"
"385";"SCCS466";"Permissiveness: Early Girls";"Childhood, Life cycle"
"386";"SCCS721";"Nationality of Authorities";"Gender"
"387";"SCCS407";"Sex of Principal Non-parental Disciplinarians: Late Boys";"Childhood, Life cycle"
"388";"SCCS623";"Existence of General Female Initiation Ceremonies";"Gender"
"389";"SCCS769";"Conflict Management in Local Community: Dominant Mode";"Politics"
"390";"SCCS763";"(Low) Leaders' Exercise of Authority";"Politics"
"391";"SCCS1608";"Children over 10 Tend Fires";"Household, Labour, Gender"
"392";"SCCS296";"Fortitude: Late Boy";"Childhood, Life cycle"
"393";"SCCS520";"Control by Caretakers - Father: Boy";"Childhood, Life cycle"
"394";"SCCS1237";"Wife's Brother's Wife and Husband's Sister's Husband";"Kinship"
"395";"SCCS742";"Time of Mourning before Remarriage of Widows";"Gender, Marriage"
"396";"SCCS313";"Achievement: Late Girl";"Childhood, Life cycle"
"397";"SCCS546";"Primary Cognitive or Performance Components: Girls";"Childhood, Life cycle, Ritual"
"398";"SCCS1926";"Male Actual Self-injury: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"399";"SCCS1776";"Frequency of Intraethnic Violence";"Subsistence, Kinship, Politics"
"400";"SCCS633";"Ritualized Female Solidarity Scale";"Gender"
"401";"SCCS99";"Food Collection: Vegetal (sexual division of labor)";"Economy, Labour"
"402";"SCCS1738";"Presence of Formal Education within Local Community";"Subsistence, Kinship, Politics"
"403";"SCCS457";"Ceremonies for Children: Early Boys";"Childhood, Life cycle"
"404";"SCCS950";"Preferred Sex and Number of Children";"Marriage, Life cycle"
"405";"SCCS257";"Age or occupational specialization: pottery making [Note, identical to EA058]";"Labour, Economy"
"406";"SCCS746";"Grounds for Divorce (Female)";"Gender, Marriage"
"407";"SCCS146";"Miscellaneous: Burden Carrying (sexual division of labor)";"Economy, Labour"
"408";"SCCS1227";"Wife's Mother and Daughter's Husband";"Kinship"
"409";"SCCS579";"Sex of Reputed Witches";"Gender"
"410";"SCCS1618";"Children 6 to 10 Gather Fuel";"Household, Labour, Gender"
"411";"SCCS1654";"Pacification";"Warfare, Politics"
"412";"SCCS465";"Permissiveness: Early Boys";"Childhood, Life cycle"
"413";"SCCS937";"Social Celebration Involved at the Onset of the Menses";"Marriage, Life cycle"
"414";"SCCS448";"Scolding: Late Girls";"Childhood, Life cycle"
"415";"SCCS316";"Industry: Late Boy";"Childhood, Life cycle"
"416";"SCCS1755";"Local Distribution of Maximal Effective Kin Group";"Subsistence, Kinship, Politics"
"417";"SCCS1378";"Child Crop Harvesting: Secondary Crop";"Household, Labour, Gender"
"418";"SCCS470";"Affection: Early Girls";"Childhood, Life cycle"
"419";"SCCS282";"Norms of premarital sexual behavior of girls [Note, identical to EA078]";"Ritual, Gender, Marriage"
"420";"SCCS576";"Sex of Gods and Spirits and Other Super-natural Beings";"Gender"
"421";"SCCS148";"Miscellaneous: Housebuilding (sexual division of labor)";"Economy, Labour"
"422";"SCCS414";"Principal Category of Non-parental Educators: Early Girls";"Childhood, Life cycle"
"423";"SCCS974";"Type of Participants in the Wedding";"Marriage, Life cycle"
"424";"SCCS75";"Ceremonial Elements";"Settlement, Community"
"425";"SCCS210";"Domestic organization [Note, identical to EA008]";"Marriage, Kinship"
"426";"SCCS744";"(Neg) Frequency of Divorce";"Gender, Marriage"
"427";"SCCS70";"Descent - Membership in Corporate Kinship Groups";"Settlement, Community"
"428";"SCCS560";"Principal Focus: Girls";"Childhood, Life cycle, Ritual"
"429";"SCCS786";"Adult Mobility";"Politics"
"430";"SCCS1574";"Children over 10 do child care";"Household, Labour, Gender"
"431";"SCCS772";"(No) Litigation: Use of Third Parties Offering Binding Decisions, with or without Formal Court Systems";"Politics"
"432";"SCCS120";"Food Preparation: Dairy (sexual division of labor)";"Economy, Labour"
"433";"SCCS952";"Penalties for Barrenness";"Marriage, Life cycle"
"434";"SCCS447";"Scolding: Late Boys";"Childhood, Life cycle"
"435";"SCCS732";"Importance of Trade in Subsistence";"Gender"
"436";"SCCS329";"Self-restraint: Late Girl";"Childhood, Life cycle"
"437";"SCCS1594";"Children under 6 Cook";"Household, Labour, Gender"
"438";"SCCS1459";"Shortest Length of Fallow: Secondary Crop";"Household, Labour, Gender"
"439";"SCCS1278";"Child Land Clearance: Primary Crop";"Household, Labour, Gender"
"440";"SCCS28";"Infant Carrying Devices";"Infancy, Childhood"
"441";"SCCS942";"Purpose of Pregnancy Restrictions:";"Marriage, Life cycle"
"442";"SCCS1741";"Overarching Formal Jurisdiction within Unit of Maximal Political Authority";"Subsistence, Kinship, Politics"
"443";"SCCS262";"Sex Differences: fishing [Note, identical to EA052]";"Labour, Gender, Economy"
"444";"SCCS784";"(No) Taxation Paid to Community (e.g., in Agricultural Produce, Labour, Finished Goods)";"Politics"
"445";"SCCS480";"Incorporation into Society: Late Girls";"Childhood, Life cycle"
"446";"SCCS7";"Fishing - Contribution to Food Supply";"Subsistence, Economy"
"447";"SCCS1660";"Outcomes regarding Nonland Resources in War Overall";"Warfare, Politics"
"448";"SCCS627";"A Statement That Women Have More Informal Influence than Formal Norms of the Society Would Make It Appear";"Gender"
"449";"SCCS15";"Water Transport";"Subsistence, Economy"
"450";"SCCS392";"Sex of Principal Non-parental Authority Figures: Late Girl";"Childhood, Life cycle"
"451";"SCCS159";"Talk about Sex";"Life cycle, Marriage, Sexual practices"
"452";"SCCS12";"Gathered Foods";"Subsistence, Economy"
"453";"SCCS172";"Wifesharing";"Life cycle, Marriage, Sexual practices"
"454";"SCCS1279";"Child Soil Preparation: Primary Crop";"Household, Labour, Gender"
"455";"SCCS1726";"Communality of Land";"Subsistence, Kinship, Politics"
"456";"SCCS1667";"Individual Aggression - Theft";"Warfare, Politics"
"457";"SCCS965";"Violation: Who Is Punished for Adultery";"Marriage, Life cycle"
"458";"SCCS556";"Primary Social Consequences: Girls";"Childhood, Life cycle, Ritual"
"459";"SCCS656";"Theories of Witchcraft";"Health, Ritual"
"460";"SCCS532";"Initiation Time: Girls";"Childhood, Life cycle, Ritual"
"461";"SCCS1720";"Causes of Land Shortage";"Subsistence, Kinship, Politics"
"462";"SCCS967";"Age of Woman at Establishment of Marriage: First Marriage";"Marriage, Life cycle"
"463";"SCCS221";"Largest patrilineal kin group [Note, identical to EA017]";"Kinship"
"464";"SCCS591";"Ownership or Control of the Use of Dwellings";"Gender"
"465";"SCCS1925";"Female Attempted Self-injury: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"466";"SCCS22";"Food Supply (Ecological or Distribution Network)";"Subsistence, Economy"
"467";"SCCS749";"Living Arrangements for Newlyweds";"Gender, Marriage"
"468";"SCCS84";"Higher Political Organization";"Politics"
"469";"SCCS1";"Intercommunity Trade as Food Source";"Subsistence, Economy"
"470";"SCCS1273";"Adult Planting: Primary Crop";"Household, Labour, Gender"
"471";"SCCS486";"Warmth and Affection of Caretakers - Father: Aver";"Childhood, Life cycle"
"472";"SCCS472";"Affection: Late Girls";"Childhood, Life cycle"
"473";"SCCS73";"Community Integration";"Settlement, Community"
"474";"SCCS770";"(No) Resort to Physical Force by Disputants in Settling Disputes, Exclusive of Police or Institutionalized Force,";"Politics"
"475";"SCCS326";"Self-restraint: Early Boy";"Childhood, Life cycle"
"476";"SCCS1760";"Frequency of Interactions between Boys (Early Childhood) and Male Adults";"Subsistence, Kinship, Politics"
"477";"SCCS726";"Anthropological Present";"Gender"
"478";"SCCS171";"Frequency of Extramarital Sex - Female";"Life cycle, Marriage, Sexual practices"
"479";"SCCS669";"Male Aggression Guttman Scale Constructed from 664-668";"Gender"
"480";"SCCS1261";"Ordinary Nutritional Conditions and Endemic Starvation";"Subsistence, Health"
"481";"SCCS1677";"Socially Organized Theft";"Warfare, Politics"
"482";"SCCS318";"Responsibility: Early Boy";"Childhood, Life cycle"
"483";"SCCS132";"Manufacturing: Basketmaking (sexual division of labor)";"Economy, Labour"
"484";"SCCS787";"(Low) Contact with Other Societies";"Politics"
"485";"SCCS489";"Warmth and Affection of Caretakers - Others: Aver";"Childhood, Life cycle"
"486";"SCCS1997";"Degree of Christian Influence";"Life cycle, Mourning, Death, Ritual, Religion"
"487";"SCCS792";"Types of Cross-cutting Ties: Ritual Organizations (Religious, Cult Groups) Cutting across Communities";"Politics"
"488";"SCCS482";"Warmth and Affection of Caretakers - Mother: Girl";"Childhood, Life cycle"
"489";"SCCS1666";"Individual Aggression - Assault";"Warfare, Politics"
"490";"SCCS615";"Wife to Husband Institutionalized Deference (Guttman Scale)";"Gender"
"491";"SCCS542";"Primary Physical Components: Girls";"Childhood, Life cycle, Ritual"
"492";"SCCS999";"Identification of Others for Boys and Girls, without Regard to Gender";"Childhood, Life cycle"
"493";"SCCS304";"Competitiveness: Late Boy";"Childhood, Life cycle"
"494";"SCCS66";"Large or Impressive Structures";"Settlement, Community"
"495";"SCCS920";"Large Scale Slaveholding Systems: Proportion of Slaves";"Economy, Labour, Politics"
"496";"SCCS243";"Domestic animals: plow cultivation [Note, identical to EA039]";"Subsistence, Economy"
"497";"SCCS269";"Age or occupational specialization: agriculture [Note, identical to EA065]";"Labour, Economy"
"498";"SCCS971";"Consent to Marry: How Necessary Is the Consent of the Prospective Wife for Marriage Arrangements to Proceed";"Marriage, Life cycle"
"499";"SCCS1619";"Children over 10 Gather Fuel";"Household, Labour, Gender"
"500";"SCCS443";"Teasing: Late Boys";"Childhood, Life cycle"
"501";"SCCS307";"Self-reliance: Early Girl";"Childhood, Life cycle"
"502";"SCCS718";"Number of Authorities Consulted";"Gender"
"503";"SCCS87";"Deliberative and Consultative Bodies";"Politics"
"504";"SCCS476";"Evaluation by Society: Late Girls";"Childhood, Life cycle"
"505";"SCCS1805";"Importance of Gossip";"Kinship, Gossip, Politics"
"506";"SCCS162";"Foreplay";"Life cycle, Marriage, Sexual practices"
"507";"SCCS919";"Large Scale Slaveholding Systems: Recency";"Economy, Labour, Politics"
"508";"SCCS266";"Age or occupational specialization: hunting [Note, identical to EA062]";"Labour, Economy"
"509";"SCCS331";"Sexual Restraint: Early Girl";"Childhood, Life cycle"
"510";"SCCS1711";"Where Adolescents Sleep";"Childhood, Household, Life cycle, Marriage"
"511";"SCCS50";"Covering Genitals - Childhood Developmental Order";"Infancy, Childhood"
"512";"SCCS122";"Extractive Industries: Mining/Quarrying (sexual division of labor)";"Economy, Labour"
"513";"SCCS140";"Manufacturing: Metal (sexual division of labor)";"Economy, Labour"
"514";"SCCS144";"Miscellaneous: Bodily Mutilation (sexual division of labor)";"Economy, Labour"
"515";"SCCS20";"Food Storage";"Subsistence, Economy"
"516";"SCCS474";"Evaluation by Society: Early Girls";"Childhood, Life cycle"
"517";"SCCS24";"Bodily Restrictiveness - Early Infancy";"Infancy, Childhood"
"518";"SCCS1924";"Male Attempted Self-injury: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"519";"SCCS311";"Achievement: Early Girl";"Childhood, Life cycle"
"520";"SCCS1368";"Adult Soil Preparation: Secondary Crop";"Household, Labour, Gender"
"521";"SCCS989";"Importance of Fathers for Boys";"Childhood, Life cycle"
"522";"SCCS947";"Type of Birth Celebration";"Marriage, Life cycle"
"523";"SCCS351";"Principal Category of Non-parental Agent: Late Boy";"Childhood, Life cycle"
"524";"SCCS2001";"Deep Islamization/Christianization (1806)";"Life cycle, Mourning, Death, Ritual, Religion"
"525";"SCCS277";"Political succession: hereditary succession [Note, identical to EA073]";"Politics, Leadership, Kinship"
"526";"SCCS1922";"Attempted Self-injury: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"527";"SCCS1621";"Children Gather Fuel with Children";"Household, Labour, Gender"
"528";"SCCS1572";"Children under 6 do child care";"Household, Labour, Gender"
"529";"SCCS1371";"Adult Harvesting: Secondary Crop";"Household, Labour, Gender"
"530";"SCCS130";"Manufacturing: Matmaking (sexual division of labor)";"Economy, Labour"
"531";"SCCS1920";"Male Crying: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"532";"SCCS43";"Covering Genitals - Age";"Infancy, Childhood"
"533";"SCCS174";"Frequency of Rape";"Life cycle, Marriage, Sexual practices"
"534";"SCCS569";"Fraternal Interest Group Size";"Ritual, Life cycle"
"535";"SCCS904";"Cowardice: Defined As";"Warfare, Politics"
"536";"SCCS778";"(Low) Loyalty to the Local Community";"Politics"
"537";"SCCS1778";"Frequency of Interethnic Violence/Attacking";"Subsistence, Kinship, Politics"
"538";"SCCS1494";"Children Care for Large Animals";"Household, Labour, Gender"
"539";"SCCS902";"Leadership during Battle [modified from Otterbein 1970: 23-28, 144]";"Warfare, Politics"
"540";"SCCS310";"Achievement: Early Boy";"Childhood, Life cycle"
"541";"SCCS509";"Indifference of Caretakers - Father: Girl";"Childhood, Life cycle"
"542";"SCCS780";"(Low) Hostility toward Other Societies";"Politics"
"543";"SCCS995";"Identification of Others for Girls";"Childhood, Life cycle"
"544";"SCCS320";"Responsibility: Late Boy";"Childhood, Life cycle"
"545";"SCCS568";"Compensation Demands";"Ritual, Life cycle"
"546";"SCCS701";"(No) Government Full-time Bureaucrats";"Gender"
"547";"SCCS990";"Importance of Fathers for Girls";"Childhood, Life cycle"
"548";"SCCS681";"Irrigation";"Gender"
"549";"SCCS682";"Cereal Grains the Principal Crop";"Gender"
"550";"SCCS161";"Sex Believed Dangerous";"Life cycle, Marriage, Sexual practices"
"551";"SCCS1576";"Children do child care along with other children";"Household, Labour, Gender"
"552";"SCCS760";"Perceptions of Political Leaders' Benevolence as Seen by Society";"Politics"
"553";"SCCS390";"Sex of Principal Non-parental Authority Figures: Early Girl";"Childhood, Life cycle"
"554";"SCCS691";"Small Animals Are Hunted and Important to the Diet";"Gender"
"555";"SCCS741";"Widow Remarriage: Choice of Partner";"Gender, Marriage"
"556";"SCCS379";"Non-parental Involvement in Authority: Late Boy";"Childhood, Life cycle"
"557";"SCCS562";"Circumcision";"Ritual, Life cycle"
"558";"SCCS1627";"Children Carry Burdens";"Household, Labour, Gender"
"559";"SCCS131";"Manufacturing: Netmaking (sexual division of labor)";"Economy, Labour"
"560";"SCCS1559";"Children hunt";"Household, Labour, Gender"
"561";"SCCS469";"Affection: Early Boys";"Childhood, Life cycle"
"562";"SCCS1466";"Children Care for Small Animals";"Household, Labour, Gender"
"563";"SCCS1274";"Adult Crop Tending: Primary Crop";"Household, Labour, Gender"
"564";"SCCS700";"Crimes against Person Punished";"Gender"
"565";"SCCS1730";"Administrative Integration of Local Community within Overarching Political Unit";"Subsistence, Kinship, Politics"
"566";"SCCS614";"Final Authority over the Up-bringing and Discipline of Post-infant Unmarried Children Living in the Home";"Gender"
"567";"SCCS238";"Religion: high gods [Note, identical to EA034]";"Ritual"
"568";"SCCS319";"Responsibility: Early Girl";"Childhood, Life cycle"
"569";"SCCS297";"Fortitude: Late Girl";"Childhood, Life cycle"
"570";"SCCS603";"Role of the Older Generation in Arranging Marriages (1st Marriages Only)";"Gender"
"571";"SCCS1612";"Importance of Boy Tending Fires";"Household, Labour, Gender"
"572";"SCCS101";"Food Collection: Shellfish/Small Aquatic Fauna (sexual division of labor)";"Economy, Labour"
"573";"SCCS375";"Sex of Principal Non-parental Caretakers: Late Boy";"Childhood, Life cycle"
"574";"SCCS117";"Food Preparation: Butchering (sexual division of labor)";"Economy, Labour"
"575";"SCCS561";"Menarcheal Ceremonies";"Ritual, Life cycle"
"576";"SCCS692";"Intermediate Animals Are Hunted and Important to the Diet";"Gender"
"577";"SCCS680";"Plow";"Gender"
"578";"SCCS638";"Patterns for Grandchildren";"Kinship"
"579";"SCCS1272";"Adult Soil Preparation: Primary Crop";"Household, Labour, Gender"
"580";"SCCS706";"Metalworking";"Gender"
"581";"SCCS558";"Secondary Social Consequences: Girls";"Childhood, Life cycle, Ritual"
"582";"SCCS487";"Warmth and Affection of Caretakers - Others: Boy";"Childhood, Life cycle"
"583";"SCCS1271";"Adult Land Clearance: Primary Crop";"Household, Labour, Gender"
"584";"SCCS1772";"Hostility towards Other Ethnic Groups";"Subsistence, Kinship, Politics"
"585";"SCCS1653";"Reliability of External Warfare Ratings";"Warfare, Politics"
"586";"SCCS1757";"Frequency of Violent Conflict Involving at Least One Maximal Effective Kin Group";"Subsistence, Kinship, Politics"
"587";"SCCS317";"Industry: Late Girl";"Childhood, Life cycle"
"588";"SCCS265";"Age or occupational specialization: gathering [Note, identical to EA061]";"Labour, Economy"
"589";"SCCS119";"Food Preparation: Drinks (sexual division of labor)";"Economy, Labour"
"590";"SCCS544";"Secondary Physical Components: Girls";"Childhood, Life cycle, Ritual"
"591";"SCCS690";"Large Animals Are Hunted and Important to the Diet";"Gender"
"592";"SCCS272";"Caste differentiation: primary [Note, identical to EA068]";"Politics, Class, Economy"
"593";"SCCS687";"Small Aboriginal Domestic Animals - excluding Dogs, Cats, Fowl, Guinea Pigs";"Gender"
"594";"SCCS1732";"Presence of Wage Labour";"Subsistence, Kinship, Politics"
"595";"SCCS377";"Non-parental Involvement in Authority: Early Boy";"Childhood, Life cycle"
"596";"SCCS1563";"Who controls the products of hunting?";"Household, Labour, Gender"
"597";"SCCS686";"Large Milked Aboriginal Domestic Animals";"Gender"
"598";"SCCS55";"Principal Relationships, Infancy Caretakers and Companions";"Infancy, Childhood"
"599";"SCCS675";"Mode of First-mentioned Creation";"Gender"
"600";"SCCS163";"Age for Clothing - Male";"Life cycle, Marriage, Sexual practices"
"601";"SCCS441";"Teasing: Early Boys";"Childhood, Life cycle"
"602";"SCCS1370";"Adult Crop Tending: Secondary Crop";"Household, Labour, Gender"
"603";"SCCS240";"Post-partum sex taboos [Note, identical to EA036]";"Ritual, Gender, Marriage"
"604";"SCCS27";"Bodily Contact - Late Infancy";"Infancy, Childhood"
"605";"SCCS305";"Competitiveness: Late Girl";"Childhood, Life cycle"
"606";"SCCS1446";"Other Secondary Crop Name";"Household, Labour, Gender"
"607";"SCCS795";"(Low) Gender Differences in Political or Quasi-political Positions of Authority";"Politics"
"608";"SCCS4";"Crops - Principal";"Subsistence, Economy"
"609";"SCCS514";"Indifference of Caretakers - Overall: Boy";"Childhood, Life cycle"
"610";"SCCS796";"(No) Separate Female Organizations and Positions";"Politics"
"611";"SCCS894";"Form of Military Mobilization [adapted from Otterbein 1970: 144]";"Warfare, Politics"
"612";"SCCS1547";"Children Gather";"Household, Labour, Gender"
"613";"SCCS1775";"Reglementation of Intraethnic Violence";"Subsistence, Kinship, Politics"
"614";"SCCS1662";"Reliability of Outcomes of External Warfare Ratings (Var. 1656)";"Warfare, Politics"
"615";"SCCS708";"True Weaving";"Gender"
"616";"SCCS1651";"Reliability of Overall Warfare Ratings";"Warfare, Politics"
"617";"SCCS1465";"Children Herd Small Animals";"Household, Labour, Gender"
"618";"SCCS78";"Local Political Succession, Secondary";"Settlement, Community"
"619";"SCCS774";"(No) External Warfare (with Other Societies)";"Politics"
"620";"SCCS970";"Marriage Proposal: besides the Groom, Whose Proposal Is Regarded as Most Necessary in Initiating Marriage";"Marriage, Life cycle"
"621";"SCCS177";"Frequency of Homosexuality";"Life cycle, Marriage, Sexual practices"
"622";"SCCS116";"Food Preparation: Vegetal: Food Preparation (sexual division of labor)";"Economy, Labour"
"623";"SCCS954";"Social Approval for Abortion: Approval of and Rationale for Action Taken to Prevent the Birth of a Child by Expelling the Fetus before It Is Viable";"Marriage, Life cycle"
"624";"SCCS217";"Marital residence with kin: alternate [Note, identical to EA014]";"Marriage, Kinship"
"625";"SCCS528";"Control by Caretakers - Overall: Aver";"Childhood, Life cycle"
"626";"SCCS365";"Principal Category of Non-parental Caretaker: Early Boy";"Childhood, Life cycle"
"627";"SCCS242";"Segregation of adolescent boys [Note, identical to EA038]";"Ritual, Gender, Marriage"
"628";"SCCS271";"Class differentiation: secondary features [Note, identical to EA067]";"Politics, Class, Economy"
"629";"SCCS1702";"Pathogen: Wound Opportunistic Leishmania";"Ritual, Ecology, Health"
"630";"SCCS1367";"Adult Land Clearance: Secondary Crop";"Household, Labour, Gender"
"631";"SCCS693";"Frequency of Intercommunity Armed Conflict";"Gender"
"632";"SCCS1652";"Reliability of Internal Warfare Ratings";"Warfare, Politics"
"633";"SCCS347";"Importance of Non-parent in Residence: Late Boy";"Childhood, Life cycle"
"634";"SCCS252";"Sex differences: boat building [Note, identical to EA048]";"Labour, Gender, Economy"
"635";"SCCS637";"Patterns for Grandparents";"Kinship"
"636";"SCCS1770";"Attitude towards Physical Violence against Members of Other Ethnic Groups";"Subsistence, Kinship, Politics"
"637";"SCCS564";"Husband Involvement Scale (Couvade)";"Ritual, Life cycle"
"638";"SCCS1773";"Prestige of Warriors";"Subsistence, Kinship, Politics"
"639";"SCCS167";"Frequency of Premarital Sex - Female";"Life cycle, Marriage, Sexual practices"
"640";"SCCS548";"Secondary Cognitive or Performance Components: Girls";"Childhood, Life cycle, Ritual"
"641";"SCCS1719";"Periodical Variation of Food Scarcity";"Subsistence, Kinship, Politics"
"642";"SCCS394";"Non-parental Involvement in Discipline: Early Girl";"Childhood, Life cycle"
"643";"SCCS552";"Secondary Emic Interpretations: Girls";"Childhood, Life cycle, Ritual"
"644";"SCCS1663";"Reliability of Outcomes of Internal Warfare Ratings (Var. 1658)";"Warfare, Politics"
"645";"SCCS755";"(No) Husband Attends Birth";"Gender, Marriage"
"646";"SCCS25";"Bodily Restrictiveness - Later Infancy";"Infancy, Childhood"
"647";"SCCS69";"Marital Residence";"Settlement, Community"
"648";"SCCS42";"Elimination - Encouragement of Control in Childhood";"Infancy, Childhood"
"649";"SCCS797";"(Low) Coder Assessment of Data Quality";"Politics"
"650";"SCCS312";"Achievement: Late Boy";"Childhood, Life cycle"
"651";"SCCS779";"(Low) Loyalty to the Wider Society (in Some Cases Indistinguishable from the Local Community)";"Politics"
"652";"SCCS545";"Primary Cognitive or Performance Components: Boys";"Childhood, Life cycle, Ritual"
"653";"SCCS1362";"Planting Techniques: Primary Crop";"Household, Labour, Gender"
"654";"SCCS1546";"Adults Gather";"Household, Labour, Gender"
"655";"SCCS1369";"Adult Planting: Secondary Crop";"Household, Labour, Gender"
"656";"SCCS1379";"Child Agricultural Task Unspecified: Secondary Crop";"Household, Labour, Gender"
"657";"SCCS378";"Non-parental Involvement in Authority: Early Girl";"Childhood, Life cycle"
"658";"SCCS707";"Manufacture of Pottery";"Gender"
"659";"SCCS147";"Miscellaneous: Boatbuilding (sexual division of labor)";"Economy, Labour"
"660";"SCCS559";"Principal Focus: Boys";"Childhood, Life cycle, Ritual"
"661";"SCCS901";"Casualty Rate Poor Correlation with Ember 2005 Male Mortality in War [follows Otterbein 1970: 81, 146]";"Warfare, Politics"
"662";"SCCS1921";"Female Crying: Frequency";"Life cycle, Mourning, Death, Ritual, Religion"
"663";"SCCS1661";"Reliability of Outcomes of Internal Warfare Ratings (Var. 1655)";"Warfare, Politics"
"664";"SCCS495";"Hostility and Aggression of Caretakers - Mother: Aver";"Childhood, Life cycle"
"665";"SCCS550";"Primary Emic Interpretations: Girls";"Childhood, Life cycle, Ritual"
"666";"SCCS1919";"Crying Duration";"Life cycle, Mourning, Death, Ritual, Religion"
"667";"SCCS253";"Sex differences: house construction [Note, identical to EA049]";"Labour, Gender, Economy"
